N;M;Insert Sort;Insert Sort with Binary Search
200;300;0.544000;0.204000
200;300;0.509042;0.197083
200;300;0.519417;0.198666
200;300;0.532125;0.201333
200;300;0.564833;0.209458
200;300;0.544125;0.205458
200;300;0.533042;0.202083
200;300;0.544042;0.207625
200;500;0.588625;0.245917
200;500;0.538209;0.228834
200;500;0.594625;0.244625
200;500;0.588458;0.242208
200;500;0.573333;0.235833
200;500;0.624166;0.247625
200;500;0.609709;0.244125
200;500;0.620875;0.248625
200;500;0.623416;0.248500
200;500;0.583625;0.238875
200;1000;0.654375;0.309625
200;1000;0.655000;0.312500
200;1000;0.718125;0.337625
200;1000;0.695083;0.321542
200;1000;0.710792;0.335875
200;1000;0.688208;0.327792
200;1000;0.691000;0.327375
200;1000;0.710875;0.339667
200;1000;0.698083;0.328750
200;1000;0.662500;0.310916
500;1;2.626459;0.420417
500;1;2.644667;0.418208
500;1;2.661375;0.420417
500;1;2.777875;0.435459
500;1;2.743166;0.427542
500;1;2.738666;0.427708
500;1;2.728458;0.427750
500;1;2.666000;0.423000
500;1;2.771209;0.427500
500;1;2.665125;0.423041
500;2;2.933917;0.450958
500;2;2.757834;0.440625
500;2;2.763958;0.439958
500;2;2.773584;0.441375
500;2;2.847125;0.447375
500;2;2.733917;0.436708
500;2;2.828625;0.444666
500;2;2.685708;0.435000
500;2;2.837750;0.443583
500;2;2.721291;0.436125
500;5;2.874541;0.451042
500;5;2.835542;0.442833
500;5;2.900166;0.450375
500;5;2.791917;0.446625
500;5;2.783167;0.441292
500;5;2.919417;0.448083
500;5;2.901792;0.450708
500;5;2.857666;0.449958
500;5;2.784500;0.440167
500;5;2.677583;0.434792
500;10;2.869834;0.448833
500;10;2.868000;0.448667
500;10;2.783666;0.439458
500;10;2.737000;0.437792
500;10;2.857584;0.444000
500;10;2.716583;0.435000
500;10;2.585375;0.426583
500;10;2.757042;0.441167
500;10;2.754042;0.440875
500;10;2.746417;0.439250
500;50;3.075875;0.732291
500;50;3.062459;0.732334
500;50;3.002709;0.728208
500;50;2.938083;0.714709
500;50;2.857333;0.701500
500;50;2.976708;0.718750
500;50;3.041750;0.727584
500;50;3.100208;0.738500
500;50;3.035667;0.726708
500;50;3.113167;0.735333
500;100;3.015459;0.675458
500;100;2.955042;0.665375
500;100;3.087583;0.687250
500;100;3.078208;0.687750
500;100;2.968750;0.665958
500;100;2.920500;0.658584
500;100;2.947708;0.664083
500;100;2.910458;0.661792
500;100;2.890708;0.655167
500;100;3.043250;0.677500
500;200;3.354292;0.811375
500;200;3.152500;0.775375
500;200;3.254958;0.791292
500;200;3.120042;0.773709
500;200;3.250542;0.796292
500;200;3.256333;0.794125
500;200;3.187167;0.782875
500;200;3.237333;0.791542
500;200;3.117708;0.772542
500;200;3.173500;0.787667
500;300;3.463834;1.052750
500;300;3.407542;1.028750
500;300;3.503166;1.058875
500;300;3.277500;1.003000
500;300;3.371375;1.027250
500;300;3.326167;1.013542
500;300;3.399042;1.038042
500;300;3.420459;1.029542
500;300;3.441750;1.037250
500;300;3.392333;1.030584
500;500;3.697333;1.368791
500;500;3.421042;1.289208
500;500;3.875709;1.378042
500;500;3.683458;1.371542
500;500;3.726416;1.379375
500;500;3.618125;1.325750
500;500;3.480792;1.279625
500;500;3.677709;1.339125
500;500;3.519000;1.288125
500;500;3.723375;1.372000
500;1000;4.522417;2.070792
500;1000;4.509750;2.057417
500;1000;4.448500;2.021875
500;1000;4.441959;2.015375
500;1000;4.539375;2.052542
500;1000;4.340250;1.978833
500;1000;4.677708;2.120125
500;1000;4.538417;1.962083
500;1000;4.704708;2.138250
500;1000;4.443583;2.036584
750;1;5.858375;0.796667
750;1;6.186958;0.816125
750;1;5.868375;0.802958
750;1;6.077250;0.808958
750;1;5.871416;0.799375
750;1;6.073583;0.814584
750;1;5.952875;0.808958
750;1;6.002334;0.811250
750;1;5.858500;0.795250
750;1;5.755375;0.787042
750;2;6.104750;0.833917
750;2;6.310709;0.846958
750;2;5.966375;0.827708
750;2;6.211541;0.840667
750;2;6.028333;0.830167
750;2;6.103583;0.831500
750;2;6.428375;0.861667
750;2;6.227959;0.841417
750;2;6.003375;0.826334
750;2;6.268958;0.855542
750;5;6.195584;0.843708
750;5;6.509375;0.860000
750;5;6.282333;0.847125
750;5;6.101167;0.835083
750;5;5.974000;0.825084
750;5;6.024583;0.825334
750;5;6.401375;0.852250
750;5;5.927750;0.822083
750;5;6.180500;0.836708
750;5;6.094250;0.831500
750;10;6.329875;0.848167
750;10;6.377667;0.848792
750;10;6.174042;0.840042
750;10;6.194792;0.836416
750;10;6.385209;0.854542
750;10;6.232208;0.843459
750;10;6.049667;0.828417
750;10;6.341583;0.853000
750;10;6.258667;0.847750
750;10;6.382875;0.855416
750;50;6.825250;1.502000
750;50;6.748667;1.486417
750;50;6.533500;1.458667
750;50;6.604291;1.459917
750;50;6.570875;1.501667
750;50;6.532375;1.447833
750;50;6.709292;1.471666
750;50;6.626916;1.464959
750;50;6.758500;1.482834
750;50;6.462500;1.438041
750;100;6.699542;1.310542
750;100;6.695833;1.322667
750;100;6.576792;1.296125
750;100;6.292958;1.254000
750;100;6.583625;1.289125
750;100;6.856375;1.340250
750;100;6.778583;1.321917
750;100;6.350542;1.261667
750;100;6.928084;1.346000
750;100;6.611000;1.298042
750;200;7.283583;1.663042
750;200;7.117542;1.622750
750;200;7.133958;1.634250
750;200;7.290000;1.659083
750;200;7.336667;1.659000
750;200;7.019000;1.605916
750;200;7.002334;1.607500
750;200;7.350125;1.673292
750;200;7.208208;1.648000
750;200;7.088125;1.622000
750;300;7.799917;2.300750
750;300;7.487083;2.231084
750;300;7.429500;2.207584
750;300;7.558209;2.226333
750;300;7.315583;2.196250
750;300;7.548500;2.247916
750;300;7.634541;2.271333
750;300;7.870833;2.342000
750;300;7.601708;2.257584
750;300;7.478958;2.225750
750;500;7.859416;2.926167
750;500;8.383167;3.062125
750;500;8.475125;3.081333
750;500;8.361791;3.074541
750;500;8.615416;3.136833
750;500;8.380792;3.102750
750;500;7.905875;2.924834
750;500;8.377792;3.066500
750;500;8.507875;3.140166
750;500;8.308875;3.154625
750;1000;10.371666;4.676209
750;1000;10.484750;4.726791
750;1000;10.307000;4.669417
750;1000;9.946458;4.497375
750;1000;10.427375;4.724583
750;1000;10.067208;4.578458
750;1000;10.352333;4.688625
750;1000;10.259417;4.646750
750;1000;10.241584;4.624708
750;1000;10.213708;4.629167
1000;1;10.786209;1.310875
1000;1;10.621291;1.291792
1000;1;10.651250;1.298334
1000;1;10.659875;1.300167
1000;1;10.709709;1.304958
1000;1;10.917542;1.308583
1000;1;10.965958;1.316292
1000;1;10.710333;1.296291
1000;1;10.242250;1.258250
1000;1;10.286167;1.280166
1000;2;10.666625;1.323792
1000;2;11.280166;1.373333
1000;2;11.526208;1.416000
1000;2;10.994292;1.355125
1000;2;10.841042;1.341209
1000;2;10.694834;1.331709
1000;2;10.627542;1.314791
1000;2;11.363666;1.373750
1000;2;11.071083;1.348542
1000;2;11.145208;1.358000
1000;5;10.915583;1.341000
1000;5;10.850792;1.336708
1000;5;10.735125;1.355208
1000;5;11.477292;1.383583
1000;5;11.278500;1.368708
1000;5;11.114459;1.360292
1000;5;10.995875;1.360250
1000;5;11.511833;1.387916
1000;5;10.683292;1.327166
1000;5;11.178708;1.368875
1000;10;10.933000;1.343708
1000;10;11.255791;1.364375
1000;10;11.045917;1.356458
1000;10;10.894834;1.340292
1000;10;11.374167;1.407458
1000;10;11.223542;1.366250
1000;10;10.672375;1.323209
1000;10;11.485750;1.377083
1000;10;11.212958;1.392000
